Move,Type,Purpose,Method,Notes,Assigned To Prospects
Meet for coffee/breakfast/lunch,"Feel Good,Organization / Project Update,Get Advice / Feedback,Networking","Cultivation,Solicitation",In Person,,
Invite the donor to present something to students.,Feel Good,Cultivation,In Person,,
Give a tour of the facility or a program to the donor,Education / Awareness,Cultivation,In Person,,
Drop by / Call unannounced to thank them for recent support,Thank You,Stewardship,"In Person,Phone",,
Feature donors in event videos and picture albums – send them the video or album.,Feel Good,Cultivation,"Email,Text / WhatsApp,Video",,
Solicitation,,,,,
Send an organization video with a personalized note “thinking of you”,"Feel Good,Organization / Project Update",Cultivation,"Text / WhatsApp,Email,Video",,
Ask a donor to host an event on their home.,"Event Related,Feel Good",Cultivation,Event,,
Yom Tov greetings / cards,Feel Good,Cultivation,Handwritten Note,,
Acknowledge the anniverary of the donor's first gift,"Feel Good,Date or Milestone Based,Thank You",Cultivation,"Phone,Email,Text / WhatsApp",,
Handwritten Note with Gifts,Feel Good,Cultivation,Handwritten Note,,
"If a student is in a video, send the video with a “have nachas!” note.",Feel Good,Cultivation,"Text / WhatsApp,Email,Video",,
"Acknowledge a donor for reaching a certain lifetime giving milestone (ex. $5000, $10,000, etc.)","Date or Milestone Based,Feel Good,Thank You",Stewardship,"In Person,Phone,Email,Text / WhatsApp",,
"If you find an opportunity for a donor, send it to them (Lottery Ticket)",Feel Good,Cultivation,"In Person,Phone,Email,Text / WhatsApp",,
Attach personal notes to school mail being sent to the donor.,Feel Good,Cultivation,Mail,,
Personalized thank you video,"Feel Good,Thank You",Stewardship,Video,,
"Bring / introduce donors to exclusive VIPs within your network (Roshei Yeshiva, Rabbonim, board members, others, etc.)","Feel Good,Thank You",Stewardship,In Person,,
Ask donor to brainstorm who they can connect you with within their network.,Networking,Cultivation,"In Person,Phone,Email,Text / WhatsApp",,
"Personal text / email updating a donor on organization Torah milestones, accomplishments, etc.",Organization / Project Update,Cultivation,"Email,Text / WhatsApp",Use mail merge for personalization.,
Thank you ads in newspapers and magazines,"Feel Good,Thank You",Stewardship,Publication,,
Go out to Lunch,,,,,
"Ask a donor to chair or join an event committee, whether real or honorary","Event Related,Feel Good",Cultivation,Event,,
